2023-03-23 10:57:41:5741 [Debug]  /TaskManagement/GetUser: 48ms.
2023-03-23 10:58:05:585 [Debug]  /Users/Login: 255ms.
2023-03-23 11:20:37:2037 [Debug]  /favicon.ico: 39ms.
2023-03-23 11:20:37:2037 [Debug]  /TaskManagement/GetUser: 52ms.
2023-03-23 11:20:39:2039 [Debug]  /index.html: 33ms.
2023-03-23 11:20:56:2056 [Debug]  /action_page.php: 1ms.
2023-03-23 11:21:44:2144 [Debug]  /index.html: 3ms.
2023-03-23 11:26:46:2646 [Debug]  /index.html: 10ms.
2023-03-23 11:36:39:3639 [Debug]  /index.html: 16ms.
2023-03-23 11:36:39:3639 [Debug]  /login.js: 8ms.
2023-03-23 11:37:55:3755 [Debug]  /index.html: 2ms.
2023-03-23 11:37:55:3755 [Debug]  /login.js: 0ms.
2023-03-23 11:40:51:4051 [Debug]  /index.html: 1ms.
2023-03-23 11:40:51:4051 [Debug]  /login.js: 3ms.
2023-03-23 11:41:23:4123 [Debug]  /index.html: 2ms.
2023-03-23 11:41:24:4124 [Debug]  /login.js: 2ms.
2023-03-23 11:41:26:4126 [Debug]  /index.html: 2ms.
2023-03-23 11:41:46:4146 [Debug]  /index.html: 2ms.
2023-03-23 11:41:46:4146 [Debug]  /login.js: 1ms.
2023-03-23 11:42:33:4233 [Debug]  /TaskManagement/Users/Login: 0ms.
2023-03-23 11:45:37:4537 [Debug]  /index.html: 65ms.
2023-03-23 11:45:37:4537 [Debug]  /login.js: 23ms.
2023-03-23 11:46:35:4635 [Debug]  /Users/Login: 287ms.
2023-03-23 11:48:39:4839 [Debug]  /index.html: 2ms.
2023-03-23 11:48:39:4839 [Debug]  /login.js: 5ms.
2023-03-23 11:48:54:4854 [Debug]  /login.js: 48ms.
2023-03-23 11:49:26:4926 [Debug]  /Users/Login: 276ms.
2023-03-23 11:51:24:5124 [Debug]  /index.html: 8ms.
2023-03-23 11:51:24:5124 [Debug]  /login.js: 10ms.
2023-03-23 11:51:32:5132 [Debug]  /index.html: 3ms.
2023-03-23 11:51:32:5132 [Debug]  /login.js: 0ms.
2023-03-23 11:51:36:5136 [Debug]  /index.html: 2ms.
2023-03-23 11:51:36:5136 [Debug]  /login.js: 1ms.
2023-03-23 11:51:53:5153 [Debug]  /Users/Login: 5ms.
2023-03-23 11:52:53:5253 [Debug]  /index.html: 25ms.
2023-03-23 11:52:53:5253 [Debug]  /login.js: 5ms.
2023-03-23 11:52:56:5256 [Debug]  /favicon.ico: 0ms.
2023-03-23 11:53:12:5312 [Debug]  /index.html: 3ms.
2023-03-23 11:53:12:5312 [Debug]  /login.js: 0ms.
2023-03-23 11:53:22:5322 [Debug]  /Users/Login: 1ms.
2023-03-23 11:54:59:5459 [Debug]  /index.html: 64ms.
2023-03-23 11:54:59:5459 [Debug]  /login.js: 18ms.
2023-03-23 11:55:16:5516 [Debug]  /Users/Login: 237ms.
2023-03-23 11:56:00:560 [Debug]  /action_page.php: 0ms.
2023-03-23 11:56:02:562 [Debug]  /action_page.php: 0ms.
2023-03-23 11:56:03:563 [Debug]  /action_page.php: 0ms.
2023-03-23 11:56:08:568 [Debug]  /index.html: 5ms.
2023-03-23 11:56:08:568 [Debug]  /login.js: 2ms.
2023-03-23 11:56:18:5618 [Debug]  /index.html: 3ms.
2023-03-23 11:56:18:5618 [Debug]  /login.js: 0ms.
2023-03-23 11:56:39:5639 [Debug]  /Users/Login: 5ms.
2023-03-23 12:03:50:350 [Debug]  /index.html: 105ms.
2023-03-23 12:03:50:350 [Debug]  /login.js: 5ms.
2023-03-23 12:05:09:59 [Debug]  /login.js: 73ms.
2023-03-23 12:07:11:711 [Debug]  /Users/Login: 6ms.
2023-03-23 12:07:33:733 [Debug]  /Users/Login: 4ms.
2023-03-23 12:07:33:733 [Debug]  /Users/Login: 275ms.
2023-03-23 12:19:53:1953 [Debug]  /index.html: 13ms.
2023-03-23 12:19:53:1953 [Debug]  /login.js: 10ms.
2023-03-23 12:23:32:2332 [Debug]  /index.html: 2ms.
2023-03-23 12:23:32:2332 [Debug]  /login.js: 2ms.
2023-03-23 12:23:45:2345 [Debug]  /login.js: 59ms.
2023-03-23 12:24:02:242 [Debug]  /Users/Login: 223ms.
2023-03-23 12:26:00:260 [Debug]  /login.js: 66ms.
2023-03-23 12:26:14:2614 [Debug]  /Users/Login: 90ms.
2023-03-23 12:28:11:2811 [Debug]  /Users/Login: 119ms.
2023-03-23 12:28:39:2839 [Debug]  /Users/Login: 1ms.
2023-03-23 12:36:17:3617 [Debug]  /index.html: 61ms.
2023-03-23 12:36:17:3617 [Debug]  /login.js: 14ms.
2023-03-23 12:36:29:3629 [Debug]  /action_page.php: 3ms.
2023-03-23 12:37:36:3736 [Debug]  /login.js: 46ms.
